ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Millard_Fillmore	He founded the private university of buffalo on what date?	1846	NULL	easy	S08_set3_a3
Millard_Fillmore	Who or what fell in love with abigail powers?	millard fillmore	NULL	easy	S08_set3_a3
Millard_Fillmore	Was Fillmore one of the founders of the University of Buffalo?	yes	NULL	easy	S08_set3_a3
Millard_Fillmore	Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?	yes	NULL	easy	S08_set3_a3
Millard_Fillmore	Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?	no	NULL	easy	S08_set3_a3
Millard_Fillmore	Is Fillmore the first of two presidents to have been an indentured servant ?	yes	NULL	easy	S08_set3_a3
Millard_Fillmore	Is the comic strip Mallard Fillmore named after the president ?	yes	NULL	easy	S08_set3_a3
Millard_Fillmore	Was Fillmore the first U.S. President born after the death of a former president ?	yes	NULL	easy	S08_set3_a3
Millard_Fillmore	Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?	no	NULL	easy	S08_set3_a3
Millard_Fillmore	What happened in a log cabin in summerhill , new york?	Fillmore was born	NULL	easy	S08_set3_a3
